name,season,GP,TOI,G,A,P,SH,SH%,FOW,FOL,PPTOI,PPG,PPA,PPP,PPSH,positions,avg_round,avg_pick,pct_drafted
Anton Lander,20142015,38,567.37,6,14,20,61,9.84,226,225,78.4,4.0,3.0,7.0,15.0,C,23.4,182.0,0
Anton Lander,20152016,61,736.73,1,2,3,54,1.85,377,315,57.07,0.0,0.0,0.0,6.0,C,23.4,182.0,0
Anton Slepyshev,20152016,11,94.88,0,1,1,5,0.0,1,0,3.07,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Anton Stralman,20132014,81,1569.11,1,12,13,104,0.96,0,0,41.24,0.0,0.0,0.0,5.0,D,13.9,135.2,100%
Anton Stralman,20142015,82,1789.63,9,30,39,138,6.52,0,0,212.97,2.0,12.0,14.0,13.0,D,13.9,135.2,100%
Anton Stralman,20152016,73,1602.18,9,25,34,127,7.09,0,0,210.11,1.0,11.0,12.0,16.0,D,13.9,135.2,100%
Anton Volchenkov,20132014,56,935.53,0,8,8,42,0.0,0,0,10.120000000000001,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Anton Volchenkov,20142015,46,606.07,0,7,7,35,0.0,0,0,3.29,0.0,0.0,0.0,1.0,D,23.4,182.0,0
Anze Kopitar,20132014,82,1707.21,29,41,70,200,14.5,773,678,276.32000000000005,7.0,13.0,20.0,36.0,C,3.5,29.1,100%
Anze Kopitar,20142015,79,1528.32,16,48,64,134,11.94,752,678,217.29,6.0,16.0,22.0,24.0,C,3.5,29.1,100%
Anze Kopitar,20152016,81,1686.77,25,49,74,177,14.12,950,826,204.68,5.0,13.0,18.0,46.0,C,3.5,29.1,100%
Artem Anisimov,20132014,81,1335.38,22,17,39,161,13.66,475,488,163.29,3.0,2.0,5.0,33.0,C,15.8,162.1,3%
Artem Anisimov,20142015,52,850.62,7,20,27,88,7.95,102,127,84.28,0.0,4.0,4.0,13.0,C,15.8,162.1,3%
Artem Anisimov,20152016,77,1391.33,20,22,42,121,16.53,507,641,180.11999999999998,5.0,5.0,10.0,15.0,C,15.8,162.1,3%
Artemi Panarin,20152016,80,1473.26,30,47,77,187,16.04,0,0,226.51,8.0,15.0,23.0,33.0,L,3.3,27.1,100%
Austin Watson,20152016,57,569.12,3,7,10,55,5.45,6,7,8.8,0.0,0.0,0.0,0.0,L,23.4,182.0,0
B J  Crombeen,20132014,55,558.22,3,7,10,60,5.0,3,5,6.82,0.0,0.0,0.0,0.0,R,23.4,182.0,0
B J  Crombeen,20142015,58,469.7,3,3,6,43,6.98,1,0,5.14,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Barclay Goodrow,20142015,60,661.42,4,8,12,68,5.88,12,11,26.830000000000002,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Barclay Goodrow,20152016,14,143.29,0,3,3,7,0.0,4,2,1.93,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Barret Jackman,20132014,79,1416.54,3,12,15,83,3.61,0,1,9.26,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Barret Jackman,20142015,80,1342.37,2,13,15,86,2.33,0,0,8.2,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Barret Jackman,20152016,73,1010.35,1,4,5,64,1.56,0,0,3.16,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Beau Bennett,20132014,21,289.1,3,4,7,27,11.11,2,0,31.87,0.0,0.0,0.0,3.0,R,23.4,182.0,0
Beau Bennett,20142015,49,611.26,4,8,12,81,4.94,0,2,44.59,0.0,0.0,0.0,9.0,R,23.4,182.0,0
Beau Bennett,20152016,33,391.98,6,6,12,52,11.54,2,4,51.82,1.0,2.0,3.0,8.0,R,23.4,182.0,0
Ben Chiarot,20142015,40,679.39,2,6,8,37,5.41,0,0,2.56,0.0,0.0,0.0,0.0,D,12.6,145.7,4%
Ben Chiarot,20152016,70,1011.17,1,9,10,75,1.33,0,0,6.07,0.0,0.0,0.0,0.0,D,12.6,145.7,4%
Ben Hanowski,20132014,11,79.75,0,2,2,10,0.0,1,0,2.5,0.0,0.0,0.0,0.0,L,23.4,182.0,0
Ben Harpur,20152016,5,68.28,0,1,1,3,0.0,0,0,,,,,,D,23.4,182.0,0
Ben Hutton,20152016,75,1486.98,1,24,25,104,0.96,0,0,175.6,0.0,7.0,7.0,24.0,D,23.4,182.0,0
Ben Lovejoy,20132014,78,1509.83,5,13,18,107,4.67,0,0,26.44,0.0,1.0,1.0,3.0,D,23.4,182.0,0
Ben Lovejoy,20142015,60,1164.49,2,12,14,86,2.33,0,0,16.6,0.0,0.0,0.0,3.0,D,23.4,182.0,0
Ben Lovejoy,20152016,66,1242.8,4,6,10,90,4.44,0,0,16.83,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Ben Smith,20132014,75,954.35,14,12,26,90,15.56,200,194,36.61,1.0,1.0,2.0,3.0,R,23.4,182.0,0
Ben Smith,20142015,80,1043.43,7,7,14,92,7.61,310,284,27.36,0.0,0.0,0.0,0.0,R,23.4,182.0,0
Ben Smith,20152016,22,265.98,2,4,6,17,11.76,100,85,4.02,0.0,0.0,0.0,0.0,R,23.4,182.0,0
